year,concrete,aggregates,bricks,asphalt,metals,other,antropogenic,biomass
1900,0.002307304,0.016891763,0.011240708,0,0.000883365,0.004282105,0.035605244,1.158863833
1901,0.002368594,0.017146905,0.011342108,0,0.000928342,0.004293273,0.036079222,1.158151616
1902,0.002441722,0.017391909,0.011443897,0,0.000973696,0.004306994,0.036558218,1.155851498
1903,0.002527482,0.017639746,0.011548895,0,0.001019288,0.004321779,0.037057189,1.156119601
1904,0.002624492,0.017880227,0.011654499,0,0.001065312,0.004338328,0.037562858,1.156658075
1905,0.00273273,0.018143962,0.011760175,0,0.001121549,0.004355695,0.038114111,1.156058056
1906,0.002852951,0.018404277,0.011869863,0,0.001170058,0.00437431,0.038671458,1.156421297
1907,0.002983944,0.01866978,0.011977981,0,0.00123599,0.004393757,0.039261452,1.156101006
1908,0.003125156,0.018945505,0.012091511,0,0.001288439,0.004414338,0.039864948,1.155681128
1909,0.003277001,0.01923328,0.01220881,0,0.001349141,0.004435808,0.04050404,1.155389295
1910,0.003439588,0.019510067,0.012326471,0,0.001417791,0.004458388,0.041152305,1.15523618
1911,0.003612402,0.019774841,0.012445817,0,0.001481503,0.004481819,0.041796383,1.154221956
1912,0.003794274,0.020037629,0.012567546,0,0.001554243,0.004506561,0.042460253,1.153039558
1913,0.00398584,0.020296232,0.012693298,0,0.001640889,0.004532911,0.043149171,1.152494291
1914,0.004150454,0.02055642,0.012817844,0,0.001696641,0.004560757,0.043782115,1.152196689
1915,0.00428858,0.020814046,0.012939871,0,0.001750828,0.004589573,0.044382898,1.151610379
1916,0.004400425,0.021093661,0.013065727,0,0.001817352,0.004619674,0.044996839,1.151326218
1917,0.004486345,0.021363629,0.013184374,0,0.001884856,0.004651148,0.045570352,1.15137376
1918,0.004546786,0.021670936,0.013305855,0,0.001944279,0.004684034,0.04615189,1.150892354
1919,0.004582415,0.021917529,0.013422834,0,0.001993658,0.004718181,0.046634617,1.150155491
1920,0.004664594,0.022183416,0.013536204,0,0.002049915,0.004753822,0.047187949,1.150383903
1921,0.004742107,0.022442021,0.013656968,1.38484E-06,0.002079332,0.004791904,0.047713716,1.15080965
1922,0.004896273,0.022713471,0.013773485,4.15229E-06,0.002124662,0.004831396,0.048343439,1.149634523
1923,0.005050678,0.022992372,0.01389343,9.69077E-06,0.002186604,0.004873223,0.049005997,1.149637594
1924,0.00526624,0.023292035,0.014015715,1.80194E-05,0.002245571,0.004917068,0.049754648,1.148351898
1925,0.005540045,0.023575918,0.01414337,2.91035E-05,0.002315133,0.004962544,0.050566113,1.148033309
1926,0.005847361,0.023886024,0.014274066,4.29345E-05,0.002386788,0.005010001,0.051447174,1.146648986
1927,0.006184917,0.02423282,0.014405351,5.95012E-05,0.002466383,0.005059047,0.052408019,1.146445081
1928,0.006545626,0.024575883,0.014538969,7.89524E-05,0.002546873,0.005109308,0.053395611,1.145246972
1929,0.006917649,0.02493019,0.014678745,0.000101068,0.002640582,0.005161092,0.054429326,1.143938846
1930,0.007265081,0.025280172,0.014819597,0.000125931,0.002722015,0.005213711,0.055426506,1.143627138
1931,0.007537903,0.025668438,0.014962552,0.000153617,0.002771465,0.005267908,0.056361883,1.14216414
1932,0.007716928,0.026067882,0.015099114,0.000184557,0.002797647,0.005321874,0.057188002,1.141140831
1933,0.007884944,0.026468285,0.015238895,0.000218945,0.002831016,0.0053773,0.058019384,1.14014976
1934,0.008119027,0.026893589,0.015378061,0.000257446,0.002879176,0.005433305,0.058960604,1.139544717
1935,0.008395672,0.027314351,0.015513433,0.000300424,0.00293695,0.005489253,0.059950083,1.138513458
1936,0.008648405,0.027790986,0.015650601,0.00034835,0.003011082,0.005546712,0.060996136,1.137279847
1937,0.009031855,0.028306307,0.015787567,0.000401877,0.003107191,0.005604648,0.062239445,1.136536553
1938,0.009428211,0.028839684,0.015924393,0.000461544,0.003176482,0.005663154,0.063493468,1.135943729
1939,0.009865069,0.029379649,0.016056871,0.00052836,0.00326463,0.00572233,0.064816909,1.136025524
1940,0.010210195,0.029990678,0.016191831,0.000602575,0.003353605,0.005781168,0.066130052,1.134975286
1941,0.010595046,0.030627669,0.01631539,0.000685214,0.003449948,0.00584057,0.067513837,1.133469362
1942,0.010926094,0.031258986,0.016440506,0.000777335,0.003552787,0.005899898,0.068855606,1.132249865
1943,0.011185257,0.031932723,0.016565261,0.000879676,0.003654086,0.005958938,0.070175941,1.131396752
1944,0.011329788,0.032675476,0.016687278,0.000993525,0.0037388,0.006019384,0.071444251,1.129581577
1945,0.011434655,0.033436749,0.016804702,0.001119341,0.003800606,0.006079302,0.072675354,1.127848918
1946,0.011691276,0.034252842,0.016914022,0.001258967,0.003857431,0.006138206,0.074112744,1.126431399
1947,0.012034363,0.035177249,0.01702317,0.001413386,0.003931589,0.00619827,0.075778026,1.125774873
1948,0.012477607,0.036161347,0.017135624,0.001584373,0.004022281,0.006258341,0.077639572,1.125560561
1949,0.012999066,0.037231361,0.017250012,0.001773848,0.004115134,0.006318271,0.079687691,1.124143017
1950,0.013633692,0.038438409,0.01735987,0.001993806,0.004220551,0.006379397,0.082025725,1.124147576
1951,0.014359705,0.039759796,0.017477156,0.002226586,0.004346892,0.006446277,0.084616411,1.122421039
1952,0.015153667,0.041185213,0.01759981,0.002482647,0.00447749,0.006517815,0.087416641,1.119809497
1953,0.016046944,0.042647941,0.017721398,0.002754026,0.004628772,0.006593011,0.090392092,1.118927947
1954,0.017036058,0.044238265,0.01784276,0.003040479,0.004812215,0.006672613,0.093642389,1.11773497
1955,0.018153718,0.04587151,0.0179721,0.003343108,0.004979874,0.006755634,0.097075944,1.117012093
1956,0.01937053,0.04766354,0.01810792,0.003683992,0.005162476,0.006842168,0.100830627,1.116570213
1957,0.020638394,0.049550932,0.018251008,0.004050972,0.005364573,0.006932955,0.104788834,1.114988418
1958,0.021985796,0.051559804,0.018397202,0.004432234,0.005550255,0.007027827,0.108953119,1.11243307
1959,0.023512742,0.053670207,0.018544296,0.004835529,0.005754748,0.007127707,0.11344523,1.110315609
1960,0.025166254,0.055920387,0.018698592,0.005267884,0.00600292,0.007231639,0.118287675,1.109257515
1961,0.026898434,0.058342796,0.018871434,0.005732298,0.006241469,0.007340089,0.12342652,1.10874452
1962,0.028765424,0.060896873,0.019066088,0.006224589,0.006483815,0.007454219,0.128891008,1.108452905
1963,0.030728622,0.063628386,0.019285566,0.006754735,0.006734737,0.007581282,0.134713328,1.107991845
1964,0.032909732,0.066571034,0.019526524,0.007331379,0.007016631,0.007731556,0.141086856,1.107203635
1965,0.035164736,0.069684317,0.01978877,0.007953647,0.007318323,0.007905521,0.147815314,1.105462046
1966,0.037577084,0.073125779,0.020081542,0.008631227,0.00762794,0.008092118,0.15513569,1.105896039
1967,0.040054768,0.07652313,0.020408526,0.009323842,0.007909294,0.00827509,0.162494649,1.106229668
1968,0.042710204,0.080205675,0.02075352,0.010079747,0.008236501,0.008477685,0.170463332,1.106826684
1969,0.045499684,0.083974165,0.021133628,0.01085836,0.008590436,0.008690541,0.178746814,1.105456394
1970,0.048433432,0.088241127,0.021532452,0.011740556,0.008961942,0.008909678,0.187819186,1.104156296
1971,0.051425476,0.092491024,0.021991066,0.012619948,0.009330011,0.009134701,0.196992226,1.105266799
1972,0.054831064,0.097308734,0.022522,0.013649696,0.009718579,0.00937398,0.207404052,1.104897905
1973,0.058452816,0.102158921,0.023054578,0.014701983,0.010146479,0.009636171,0.218150948,1.105593232
1974,0.062005608,0.107208101,0.023607314,0.01580566,0.010578508,0.00987112,0.229076312,1.108561324
1975,0.065484088,0.111941143,0.024216508,0.016854806,0.010979237,0.010050627,0.239526409,1.110017831
1976,0.06910592,0.116417395,0.024942274,0.017799366,0.011398199,0.010287372,0.249950527,1.110816358
1977,0.0730734,0.120845354,0.025633348,0.018714162,0.011812417,0.010530832,0.260609513,1.1113067
1978,0.077329832,0.125371054,0.026329268,0.019688372,0.012245418,0.01078095,0.271744894,1.112327701
1979,0.081660432,0.130062456,0.026992726,0.020738448,0.012696739,0.011038823,0.283189623,1.112221432
1980,0.085959624,0.134645071,0.027715842,0.021769638,0.013135071,0.01128182,0.294507066,1.110858704
1981,0.090223568,0.138786075,0.028427438,0.022679144,0.01355597,0.011505379,0.305177574,1.111932064
1982,0.094409632,0.142633063,0.029308596,0.023494184,0.013935093,0.011710952,0.31549152,1.111566795
1983,0.09869696,0.146350722,0.03025352,0.024280978,0.014314134,0.01194498,0.325841294,1.10987781
1984,0.103088728,0.150184476,0.031375764,0.025116774,0.014726036,0.0121976,0.336689378,1.110931552
1985,0.1075126,0.15403047,0.032532792,0.025948352,0.015142762,0.012447306,0.347614282,1.111937847
1986,0.112177328,0.158031345,0.0336922,0.026822314,0.015555803,0.012713643,0.358992633,1.112372238
1987,0.117089968,0.162180054,0.034961088,0.027702314,0.015978421,0.012997202,0.370909047,1.111050256
1988,0.122353496,0.16669843,0.036428724,0.02860907,0.016427269,0.013288852,0.383805841,1.111505062
1989,0.127000624,0.171257293,0.037896364,0.02953799,0.016880885,0.013581383,0.396154539,1.113580106
1990,0.13156524,0.175764007,0.039496416,0.030396834,0.017319467,0.013854474,0.408396438,1.115155942
1991,0.137008288,0.180733824,0.040799452,0.031428174,0.017733175,0.014090251,0.421793164,
1992,0.141922,0.186041262,0.042257232,0.032480128,0.018139295,0.014294911,0.435134827,
1993,0.14787272,0.191544355,0.043882644,0.033529572,0.018541383,0.014497183,0.449867858,
1994,0.15426616,0.19721223,0.04559474,0.034556556,0.018949987,0.014714344,0.465294016,
1995,0.161026304,0.203379696,0.048246176,0.035570464,0.019377011,0.014934107,0.482533758,
1996,0.167998064,0.209369423,0.050750392,0.036559676,0.019797676,0.015139723,0.499614954,
1997,0.175224064,0.215571601,0.053033448,0.037621344,0.020240406,0.015389169,0.517080032,
